DateTime,Entries,UniqueIPs
1502272914,64029,64029
1502274028,63983,63983
1502274990,63960,63960
1502275954,63950,63950
1502276904,63941,63941
1502277861,63938,63938
1502278838,63902,63902
1502279794,63902,63902
1502280747,63867,63867
1502281689,63875,63875
1502282661,63853,63853
1502283697,63855,63855
1502284609,63814,63814
1502285557,63825,63825
1502286528,63793,63793
1502287470,63829,63829
1502288446,63845,63845
1502289428,63829,63829
1502290357,63796,63796
1502291317,63753,63753
1502292266,63708,63708
1502293239,63652,63652
1502294198,63621,63621
1502295162,63593,63593
1502296113,63594,63594
1502297093,63557,63557
1502298077,63540,63540
1502298991,63513,63513
1502299951,63440,63440
1502300921,63469,63469
1502301887,63459,63459
1502302862,63443,63443
1502303786,63454,63454
1502304767,63424,63424
1502305715,63402,63402
1502306669,63415,63415
1502307651,63408,63408
1502308629,63409,63409
1502309562,63391,63391
1502310529,63390,63390
1502311475,63380,63380
1502312542,63384,63384
1502313626,63356,63356
1502314590,63315,63315
1502315532,63270,63270
1502316517,63274,63274
1502317720,63299,63299
1502318678,63285,63285
1502319723,63157,63157
1502320839,63128,63128
1502321785,63157,63157
1502322757,63126,63126
1502323715,63100,63100
1502324686,63089,63089
1502325627,63063,63063
1502326585,63054,63054
1502327560,63054,63054
1502328515,63012,63012
1502329475,62985,62985
1502330511,62949,62949
1502331412,62884,62884
1502332360,62860,62860
1502333316,62845,62845
1502334275,62808,62808
1502335255,62704,62704
1502336200,62713,62713
1502337201,62662,62662
1502338109,62658,62658
1502339084,62634,62634
1502340040,62635,62635
1502341007,62598,62598
1502341949,62568,62568
1502342924,62576,62576
1502343864,62536,62536
1502344847,62540,62540
1502345803,62517,62517
1502346777,62513,62513
1502347724,62479,62479
1502348678,62507,62507
1502349632,62485,62485
1502350608,62518,62518
1502351547,62480,62480
1502352506,62435,62435
1502353465,62452,62452
1502354453,62417,62417
1502355385,62391,62391
1502356359,62350,62350
1502357319,62365,62365
1502358264,62380,62380
1502359313,62405,62405
1502360439,62433,62433
1502361385,62436,62436
1502362356,62471,62471
1502363317,62472,62472
1502364261,62499,62499
1502365481,62491,62491
1502366480,62522,62522
1502367931,62557,62557
1502369052,62577,62577
1502370082,62625,62625
1502370999,62602,62602
1502371952,62637,62637
1502372935,62671,62671
1502374125,62697,62697
1502375071,62723,62723
1502376039,62714,62714
1502376983,62747,62747
1502377963,62757,62757
1502378919,62762,62762
1502379872,62723,62723
1502380854,62766,62766
1502381801,62755,62755
1502382771,62761,62761
1502383706,62760,62760
1502384675,62751,62751
1502385645,62741,62741
1502386607,62751,62751
1502387545,62800,62800
1502388613,62797,62797
1502389716,62788,62788
1502390685,62757,62757
1502391787,62773,62773
1502392840,62760,62760
1502393801,62762,62762
1502394755,62765,62765
1502395707,62787,62787
1502396652,62780,62780
1502397641,62790,62790
1502398582,62794,62794
1502399568,62762,62762
1502400502,62801,62801
1502401474,62807,62807
1502402472,62824,62824
1502403386,62835,62835
1502404358,62830,62830
1502405318,62829,62829
1502406270,62803,62803
1502407245,62775,62775
1502408199,62801,62801
1502409160,62772,62772
1502410121,62774,62774
1502411064,62761,62761
1502412037,62766,62766
1502413014,62758,62758
1502413947,62794,62794
1502414918,62754,62754
1502415877,62761,62761
1502416874,62802,62802
1502417810,62819,62819
1502418761,62788,62788
1502419708,62811,62811
1502420915,62787,62787
1502421883,62772,62772
1502422829,62715,62715
1502423805,62756,62756
1502424752,62665,62665
1502425715,62678,62678
1502426668,62627,62627
1502427714,62648,62648
1502428818,62616,62616
1502429797,62633,62633
1502430757,62618,62618
1502431694,62581,62581
1502432663,62582,62582
1502433872,62583,62583
1502434860,62579,62579
1502435801,62577,62577
1502436753,62609,62609
1502437720,62569,62569
1502438676,62610,62610
1502439641,62602,62602
1502440599,62616,62616
1502441564,62577,62577
1502442518,62609,62609
1502443465,62583,62583
1502444424,62570,62570
1502445405,62575,62575
1502446348,62540,62540
1502447335,62518,62518
