DateTime,AddedIPs,RemovedIPs
1502668321,80,80
1502668922,80,80
1502669522,80,80
1502670123,80,80
1502671321,80,80
1502671921,80,80
1502672523,79,79
1502673122,80,80
1502673722,79,79
1502674922,74,74
1502675521,80,80
1502676122,71,71
1502677321,79,79
1502677922,80,80
1502678522,80,80
1502679122,80,80
1502679722,80,80
1502680321,80,80
1502680922,79,79
1502682122,80,80
1502682721,80,80
1502683321,77,77
1502683922,80,80
1502684521,80,80
1502685722,80,80
1502686322,80,80
1502686922,80,80
1502687521,80,80
1502688121,80,80
1502688722,80,80
1502689322,77,77
1502689921,75,75
1502690521,80,80
1502691121,78,78
1502691722,80,80
1502692921,80,80
1502693522,78,78
1502694121,80,80
1502694722,59,59
1502695322,80,80
1502695921,78,78
1502696523,80,80
1502697121,80,80
1502697722,80,80
1502698322,80,80
1502698922,80,80
1502699521,80,80
1502700121,78,78
1502700721,80,80
1502701322,80,80
1502702522,80,80
1502703121,80,80
1502703721,80,80
1502704321,77,77
1502704922,80,80
1502705522,80,80
1502706122,80,80
1502706722,80,80
1502707321,80,80
1502707922,80,80
1502708521,80,80
1502709122,80,80
1502709721,80,80
1502710922,80,80
1502711522,80,80
1502712122,80,80
1502712721,80,80
1502713321,80,80
1502713922,79,79
1502714521,80,80
1502715721,75,75
1502716321,80,80
1502716921,80,80
1502717521,79,79
1502718121,77,77
1502718722,79,79
1502719322,80,80
1502719921,80,80
1502720521,80,80
1502721721,77,77
1502722322,79,79
1502722921,80,80
1502724121,80,80
1502724722,77,77
1502725322,80,80
1502726522,75,75
1502727122,80,80
1502727722,80,80
1502728921,61,61
1502729521,80,80
1502730121,80,80
1502730722,80,80
1502731322,73,73
1502732522,80,80
1502733121,80,80
1502733721,79,79
1502734922,65,65
1502736121,80,80
1502736721,70,70
1502737321,72,72
1502737921,80,80
1502738522,80,80
1502739121,80,80
1502739722,80,80
1502740321,80,80
1502741522,79,79
1502742122,80,80
1502742721,79,79
1502743322,80,80
1502743922,80,80
1502744522,80,80
1502745122,76,76
